+-----------------------------------------------------+-----------------+---------+
|                        State                        |      Action     | Q-Value |
|   (3, 2, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.51  |
|   (1, 2, 0, False, True, True, False, False, True)  |    Actions.UP   |  -0.66  |
|   (0, 2, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.96  |
|   (0, 1, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.92  |
|   (0, 1, 0, False, True, True, False, False, True)  |   Actions.DOWN  |  -1.09  |
|   (0, 2, 0, False, True, True, False, False, True)  |  Actions.RIGHT  |  -0.51  |
|   (0, 3, 0, False, True, True, False, False, True)  |   Actions.DOWN  |   -0.3  |
|   (1, 3, 0, False, True, True, False, False, True)  |   Actions.LEFT  |  -0.59  |
|   (2, 2, 0, False, True, True, True, False, True)   |   Actions.DOWN  |   -0.3  |
|   (3, 2, 0, False, True, True, True, False, True)   |   Actions.DOWN  |   -0.3  |
|   (4, 2, 0, False, True, True, True, False, True)   |  Actions.RIGHT  |  -0.51  |
|   (4, 3, 0, False, True, True, True, False, True)   |   Actions.LEFT  |  -0.51  |
|   (4, 2, 0, False, True, True, True, False, True)   |    Actions.UP   |   -0.3  |
|   (3, 2, 0, False, True, True, True, False, True)   |  Actions.RIGHT  |   -0.3  |
